method,sessions_detected,sessions_checked,tcp_sessions_success_min2asset_min1asset,success_rate,notes
ebpf-http-session,45,45,45,100.0,
libpcap-http,43,43,43,100.0,
netsniff-http,44,44,44,100.0,
pypcap-http,44,44,44,100.0,
rawsocket-http,40,40,40,100.0,
rawsocket-http-tpacketv3,45,45,45,100.0,
scapy-http,46,46,46,100.0,
tshark-http,45,45,45,100.0,
dpkt-http,45,45,44,97.77777777777777,
tcpdump-http,45,45,44,97.77777777777777,
suricata-http,41,41,40,97.5609756097561,
zeek-http,0,0,0,0.0,zeek binary not found
